"Name","batch_size","mean_regret","dynamic_rate","seed","env_id","memory_size","_wandb"
"conbandit_combi1_0__5__2025-06-18_16-26","200","95.54364776611328","1000","5","NNBandit-v0","2000",""
"conbandit_combi1_0__4__2025-06-18_16-26","200","122.5645751953125","1000","4","NNBandit-v0","2000",""
"conbandit_combi1_0__3__2025-06-18_16-25","200","138.18968200683594","1000","3","NNBandit-v0","2000",""
"conbandit_combi1_0__2__2025-06-18_16-25","200","86.71458435058594","1000","2","NNBandit-v0","2000",""
"conbandit_combi1_0__1__2025-06-18_16-25","200","72.79340362548828","1000","1","NNBandit-v0","2000",""
"conbandit_combi1_0__0__2025-06-18_16-25","200","64.27933502197266","1000","0","NNBandit-v0","2000",""
"conbandit_combi1_0__5__2025-06-18_16-24","200","95.54364776611328","1000","5","NNBandit-v0","1500",""
"conbandit_combi1_0__4__2025-06-18_16-24","200","122.57150268554688","1000","4","NNBandit-v0","1500",""
"conbandit_combi1_0__3__2025-06-18_16-24","200","138.18968200683594","1000","3","NNBandit-v0","1500",""
"conbandit_combi1_0__2__2025-06-18_16-24","200","86.71458435058594","1000","2","NNBandit-v0","1500",""
"conbandit_combi1_0__1__2025-06-18_16-23","200","72.79340362548828","1000","1","NNBandit-v0","1500",""
"conbandit_combi1_0__0__2025-06-18_16-23","200","64.30406188964844","1000","0","NNBandit-v0","1500",""
"conbandit_combi1_0__5__2025-06-18_16-23","200","95.5506591796875","1000","5","NNBandit-v0","1000",""
"conbandit_combi1_0__4__2025-06-18_16-23","200","122.61418914794922","1000","4","NNBandit-v0","1000",""
"conbandit_combi1_0__3__2025-06-18_16-22","200","138.18478393554688","1000","3","NNBandit-v0","1000",""
"conbandit_combi1_0__2__2025-06-18_16-22","200","86.71458435058594","1000","2","NNBandit-v0","1000",""
"conbandit_combi1_0__1__2025-06-18_16-22","200","72.80673217773438","1000","1","NNBandit-v0","1000",""
"conbandit_combi1_0__0__2025-06-18_16-21","200","64.05433654785156","1000","0","NNBandit-v0","1000",""
"conbandit_combi1_0__5__2025-06-18_16-21","200","95.63337707519533","1000","5","NNBandit-v0","500",""
"conbandit_combi1_0__4__2025-06-18_16-21","200","122.56849670410156","1000","4","NNBandit-v0","500",""
"conbandit_combi1_0__3__2025-06-18_16-21","200","138.27230834960938","1000","3","NNBandit-v0","500",""
"conbandit_combi1_0__2__2025-06-18_16-20","200","86.71458435058594","1000","2","NNBandit-v0","500",""
"conbandit_combi1_0__1__2025-06-18_16-20","200","72.87811279296875","1000","1","NNBandit-v0","500",""
"conbandit_combi1_0__0__2025-06-18_16-20","200","63.68110656738281","1000","0","NNBandit-v0","500",""
"conbandit_combi1_0__5__2025-06-18_16-20","200","105.8843880985608","1000","5","ContextualBandit-v2","2000",""
"conbandit_combi1_0__4__2025-06-18_16-19","200","269.9209461557467","1000","4","ContextualBandit-v2","2000",""
"conbandit_combi1_0__3__2025-06-18_16-19","200","122.29383877895025","1000","3","ContextualBandit-v2","2000",""
