"Name","hidden_layer_size","mean_regret","env_id","noisy_net","seed","_wandb"
"conbandit_combi1_0__3__2025-06-19_18-03","100","83.25690460205078","NNBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_18-03","100","71.28258514404297","NNBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_18-03","100","77.12100219726562","NNBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_18-03","100","67.7866439819336","NNBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_18-02","100","71.24232482910156","NNBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_18-02","100","61.628562927246094","NNBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_18-02","100","55.919437408447266","NNBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_18-02","100","35.20285415649414","NNBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_18-02","90","95.5099868774414","NNBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_18-01","90","60.02184295654297","NNBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_18-01","90","75.62886047363281","NNBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_18-01","90","57.15543365478515","NNBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_18-01","90","25.724594116210938","NNBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_18-00","90","31.035999298095703","NNBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_18-00","90","40.925662994384766","NNBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_18-00","90","36.0730094909668","NNBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_18-00","80","92.4365005493164","NNBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-59","80","75.11471557617188","NNBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-59","80","76.91996765136719","NNBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-59","80","53.99842071533203","NNBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-59","80","45.021881103515625","NNBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-59","80","37.66693878173828","NNBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-58","80","50.51448059082031","NNBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-58","80","44.192115783691406","NNBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-58","70","89.30209350585938","NNBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-58","70","74.20375061035156","NNBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-58","70","82.58907318115234","NNBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-57","70","57.07908630371094","NNBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-57","70","61.93821334838867","NNBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-57","70","38.066200256347656","NNBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-57","70","28.046966552734375","NNBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-56","70","48.193477630615234","NNBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-56","60","89.94039154052734","NNBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-56","60","73.11284637451172","NNBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-56","60","61.70256423950195","NNBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-56","60","59.54782485961914","NNBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-55","60","56.68434143066406","NNBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-55","60","35.933414459228516","NNBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-55","60","43.47503280639648","NNBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-54","60","27.95219612121582","NNBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-54","50","70.84429168701172","NNBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-54","50","72.1722412109375","NNBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-54","50","78.06499481201172","NNBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-54","50","57.39191055297851","NNBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-54","50","61.45917892456055","NNBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-53","50","45.74468994140625","NNBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-53","50","65.92695617675781","NNBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-53","50","54.17951965332031","NNBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-53","40","88.33494567871094","NNBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-52","40","68.1667251586914","NNBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-52","40","87.59165954589844","NNBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-52","40","59.93777084350586","NNBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-52","40","89.22207641601562","NNBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-52","40","54.52947616577149","NNBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-51","40","39.53823471069336","NNBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-51","40","41.76332092285156","NNBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-51","30","86.1133041381836","NNBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-51","30","65.11200714111328","NNBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-50","30","74.9456558227539","NNBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-50","30","78.60005950927734","NNBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-50","30","48.67913055419922","NNBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-50","30","73.60896301269531","NNBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-50","30","42.10343170166016","NNBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-49","30","48.36503219604492","NNBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-49","20","69.79286193847656","NNBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-49","20","71.94853973388672","NNBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-49","20","84.88690185546875","NNBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-49","20","66.77948760986328","NNBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-48","20","68.93207550048828","NNBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-48","20","56.15705490112305","NNBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-48","20","51.75776672363281","NNBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-48","20","140.56552124023438","NNBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-47","10","98.72132873535156","NNBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-47","10","73.31981658935547","NNBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-47","10","103.8415985107422","NNBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-47","10","103.92071533203124","NNBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-47","10","78.24490356445312","NNBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-46","10","131.93052673339844","NNBandit-v0","true","2",""
