"Step","env_id: MNISTBandit-v0 - score","env_id: MNISTBandit-v0 - score__MIN","env_id: MNISTBandit-v0 - score__MAX"
"50","-0.7448275862068967","-1","0.4"
"100","-0.7337931034482759","-1","0.48"
"150","-0.22482758620689658","-0.96","0.52"
"200","0.38896551724137934","0.08","0.6"
"250","0.5282758620689657","0.32","0.76"
"300","0.7158620689655174","0.48","0.88"
"350","0.8910344827586211","0.8","0.96"
"400","1","1","1"
"450","1","1","1"
"500","1","1","1"
"550","1","1","1"
"600","1","1","1"
"650","1","1","1"
"700","1","1","1"
"750","1","1","1"
"800","1","1","1"
"850","1","1","1"
"900","1","1","1"
"950","1","1","1"
"1000","1","1","1"
"1050","1","1","1"
"1100","1","1","1"
"1150","1","1","1"
"1200","1","1","1"
"1250","1","1","1"
"1300","1","1","1"
"1350","1","1","1"
"1400","1","1","1"
"1450","1","1","1"
"1500","1","1","1"
"1550","1","1","1"
"1600","1","1","1"
"1650","1","1","1"
"1700","1","1","1"
"1750","1","1","1"
"1800","1","1","1"
"1850","1","1","1"
"1900","1","1","1"
"1950","1","1","1"
"2000","1","1","1"
