"Step","conbandit_combi1_0__5820__2025-06-17_16-53 - regret","conbandit_combi1_0__5820__2025-06-17_16-53 - regret__MIN","conbandit_combi1_0__5820__2025-06-17_16-53 - regret__MAX","conbandit_combi1_0__7324__2025-06-17_16-52 - regret","conbandit_combi1_0__7324__2025-06-17_16-52 - regret__MIN","conbandit_combi1_0__7324__2025-06-17_16-52 - regret__MAX","conbandit_combi1_0__6341__2025-06-17_16-51 - regret","conbandit_combi1_0__6341__2025-06-17_16-51 - regret__MIN","conbandit_combi1_0__6341__2025-06-17_16-51 - regret__MAX"
"1","0.5854169369284545","0.5854169369284545","0.5854169369284545","2","2","2","0.19692324101924896","0.19692324101924896","0.19692324101924896"
"2","1.0705835416837497","1.0705835416837497","1.0705835416837497","4","4","4","0.19692324101924896","0.19692324101924896","0.19692324101924896"
"3","1.0705835416837497","1.0705835416837497","1.0705835416837497","6","6","6","0.36411553621292114","0.36411553621292114","0.36411553621292114"
"4","1.5628235203760612","1.5628235203760612","1.5628235203760612","8","8","8","0.49228209257125854","0.49228209257125854","0.49228209257125854"
"5","1.5628235203760612","1.5628235203760612","1.5628235203760612","10","10","10","0.7044017910957336","0.7044017910957336","0.7044017910957336"
"6","1.6081095050883927","1.6081095050883927","1.6081095050883927","12","12","12","1.2055405378341675","1.2055405378341675","1.2055405378341675"
"7","2.3321699447155724","2.3321699447155724","2.3321699447155724","14","14","14","1.42787766456604","1.42787766456604","1.42787766456604"
"8","2.3321699447155724","2.3321699447155724","2.3321699447155724","16","16","16","1.654468297958374","1.654468297958374","1.654468297958374"
"9","2.6897907016513165","2.6897907016513165","2.6897907016513165","18","18","18","2.0134012699127197","2.0134012699127197","2.0134012699127197"
"10","2.7322586134446945","2.7322586134446945","2.7322586134446945","20","20","20","2.207847833633423","2.207847833633423","2.207847833633423"
"11","2.8761698016194908","2.8761698016194908","2.8761698016194908","22","22","22","2.420011043548584","2.420011043548584","2.420011043548584"
"12","2.8761698016194908","2.8761698016194908","2.8761698016194908","22","22","22","2.7277462482452393","2.7277462482452393","2.7277462482452393"
"13","2.8918478453540404","2.8918478453540404","2.8918478453540404","24","24","24","2.8628652095794678","2.8628652095794678","2.8628652095794678"
"14","2.8918478453540404","2.8918478453540404","2.8918478453540404","26","26","26","2.999434232711792","2.999434232711792","2.999434232711792"
"15","3.3777807754758116","3.3777807754758116","3.3777807754758116","28","28","28","3.3525750637054443","3.3525750637054443","3.3525750637054443"
"16","3.6721597888424036","3.6721597888424036","3.6721597888424036","30","30","30","3.5393385887145996","3.5393385887145996","3.5393385887145996"
"17","4.3621902652622415","4.3621902652622415","4.3621902652622415","32","32","32","3.7557384967803955","3.7557384967803955","3.7557384967803955"
"18","4.3621902652622415","4.3621902652622415","4.3621902652622415","34","34","34","3.7927701473236084","3.7927701473236084","3.7927701473236084"
"19","4.3621902652622415","4.3621902652622415","4.3621902652622415","36","36","36","4.293788909912109","4.293788909912109","4.293788909912109"
"20","4.648300049470802","4.648300049470802","4.648300049470802","38","38","38","4.518264293670654","4.518264293670654","4.518264293670654"
"21","4.824874411817172","4.824874411817172","4.824874411817172","40","40","40","4.8114824295043945","4.8114824295043945","4.8114824295043945"
"22","4.9061468191640465","4.9061468191640465","4.9061468191640465","42","42","42","5.262833595275879","5.262833595275879","5.262833595275879"
"23","4.9061468191640465","4.9061468191640465","4.9061468191640465","44","44","44","5.5332818031311035","5.5332818031311035","5.5332818031311035"
"24","5.009598325985254","5.009598325985254","5.009598325985254","46","46","46","5.779899597167969","5.779899597167969","5.779899597167969"
"25","5.009598325985254","5.009598325985254","5.009598325985254","48","48","48","5.9893646240234375","5.9893646240234375","5.9893646240234375"
"26","5.130503997171501","5.130503997171501","5.130503997171501","50","50","50","6.3772430419921875","6.3772430419921875","6.3772430419921875"
"27","5.130503997171501","5.130503997171501","5.130503997171501","52","52","52","6.462597370147705","6.462597370147705","6.462597370147705"
