"Step","noisy_net: true - exploration_rate","noisy_net: true - exploration_rate__MIN","noisy_net: true - exploration_rate__MAX","noisy_net: false - exploration_rate","noisy_net: false - exploration_rate__MIN","noisy_net: false - exploration_rate__MAX"
"1","","","","0.5","0.5","0.5"
"2","","","","0.5","0.5","0.5"
"3","","","","0.5","0.5","0.5"
"4","","","","0.5","0.5","0.5"
"5","","","","0.5","0.5","0.5"
"6","","","","0.5","0.5","0.5"
"7","","","","0.5","0.5","0.5"
"8","","","","0.5","0.5","0.5"
"9","","","","0.5","0.5","0.5"
"10","0.3555555555555555","0","0.85","0.5","0.5","0.5"
"11","","","","0.5","0.5","0.5"
"12","","","","0.5","0.5","0.5"
"13","","","","0.5","0.5","0.5"
"14","","","","0.5","0.5","0.5"
"15","","","","0.5","0.5","0.5"
"16","","","","0.5","0.5","0.5"
"17","","","","0.5","0.5","0.5"
"18","","","","0.5","0.5","0.5"
"19","","","","0.5","0.5","0.5"
"20","0.3416666666666666","0.050000000000000044","0.75","0.5","0.5","0.5"
"21","","","","0.5","0.5","0.5"
"22","","","","0.5","0.5","0.5"
"23","","","","0.5","0.5","0.5"
"24","","","","0.5","0.5","0.5"
"25","","","","0.5","0.5","0.5"
"26","","","","0.5","0.5","0.5"
"27","","","","0.5","0.5","0.5"
"28","","","","0.5","0.5","0.5"
"29","","","","0.5","0.5","0.5"
"30","0.34814814814814815","0.03333333333333336","0.75","0.5","0.5","0.5"
"31","","","","0.5","0.5","0.5"
"32","","","","0.5","0.5","0.5"
"33","","","","0.5","0.5","0.5"
"34","","","","0.5","0.5","0.5"
"35","","","","0.5","0.5","0.5"
"36","","","","0.5","0.5","0.5"
"37","","","","0.5","0.5","0.5"
"38","","","","0.5","0.5","0.5"
"39","","","","0.5","0.5","0.5"
"40","0.3520833333333334","0.06250000000000003","0.775","0.5","0.5","0.5"
"41","","","","0.5","0.5","0.5"
"42","","","","0.5","0.5","0.5"
"43","","","","0.5","0.5","0.5"
"44","","","","0.5","0.5","0.5"
"45","","","","0.5","0.5","0.5"
"46","","","","0.5","0.5","0.5"
"47","","","","0.5","0.5","0.5"
"48","","","","0.5","0.5","0.5"
"49","","","","0.5","0.5","0.5"
"50","0.3605555555555556","0.08000000000000003","0.76","0.5","0.5","0.5"
"51","","","","0.5","0.5","0.5"
"52","","","","0.5","0.5","0.5"
"53","","","","0.5","0.5","0.5"
"54","","","","0.5","0.5","0.5"
"55","","","","0.5","0.5","0.5"
"56","","","","0.5","0.5","0.5"
"57","","","","0.5","0.5","0.5"
"58","","","","0.5","0.5","0.5"
"59","","","","0.5","0.5","0.5"
"60","0.36250000000000004","0.08333333333333336","0.7333333333333333","0.5","0.5","0.5"
"61","","","","0.5","0.5","0.5"
"62","","","","0.5","0.5","0.5"
"63","","","","0.5","0.5","0.5"
"64","","","","0.5","0.5","0.5"
"65","","","","0.5","0.5","0.5"
"66","","","","0.5","0.5","0.5"
"67","","","","0.5","0.5","0.5"
"68","","","","0.5","0.5","0.5"
"69","","","","0.5","0.5","0.5"
"70","0.36468253968253966","0.07142857142857144","0.7142857142857142","0.5","0.5","0.5"
"71","","","","0.5","0.5","0.5"
"72","","","","0.5","0.5","0.5"
"73","","","","0.5","0.5","0.5"
"74","","","","0.5","0.5","0.5"
"75","","","","0.5","0.5","0.5"
"76","","","","0.5","0.5","0.5"
"77","","","","0.5","0.5","0.5"
"78","","","","0.5","0.5","0.5"
"79","","","","0.5","0.5","0.5"
"80","0.3670138888888889","0.06875000000000002","0.7124999999999999","0.5","0.5","0.5"
"81","","","","0.5","0.5","0.5"
"82","","","","0.5","0.5","0.5"
"83","","","","0.5","0.5","0.5"
"84","","","","0.5","0.5","0.5"
"85","","","","0.5","0.5","0.5"
"86","","","","0.5","0.5","0.5"
"87","","","","0.5","0.5","0.5"
"88","","","","0.5","0.5","0.5"
"89","","","","0.5","0.5","0.5"
"90","0.3669753086419753","0.07222222222222224","0.7055555555555555","0.5","0.5","0.5"
"91","","","","0.5","0.5","0.5"
"92","","","","0.5","0.5","0.5"
"93","","","","0.5","0.5","0.5"
"94","","","","0.5","0.5","0.5"
"95","","","","0.5","0.5","0.5"
"96","","","","0.5","0.5","0.5"
"97","","","","0.5","0.5","0.5"
"98","","","","0.5","0.5","0.5"
"99","","","","0.5","0.5","0.5"
"100","0.37111111111111117","0.07000000000000002","0.725","0.5","0.5","0.5"
"101","","","","0.5","0.5","0.5"
"102","","","","0.49840000000000007","0.4984","0.4984"
"103","","","","0.49680000000000013","0.4968","0.4968"
"104","","","","0.4951999999999999","0.49520000000000003","0.49520000000000003"
"105","","","","0.49359999999999987","0.49360000000000004","0.49360000000000004"
"106","","","","0.49200000000000005","0.49200000000000005","0.49200000000000005"
"107","","","","0.4904000000000001","0.49040000000000006","0.49040000000000006"
"108","","","","0.4888000000000002","0.48880000000000007","0.48880000000000007"
"109","","","","0.48719999999999986","0.4872000000000001","0.4872000000000001"
"110","0.37575757575757573","0.0909090909090909","0.6909090909090909","0.48560000000000003","0.4856000000000001","0.4856000000000001"
"111","","","","0.4840000000000001","0.4840000000000001","0.4840000000000001"
"112","","","","0.48240000000000005","0.4824000000000001","0.4824000000000001"
"113","","","","0.4808000000000002","0.4808000000000001","0.4808000000000001"
"114","","","","0.4792000000000003","0.4792000000000001","0.4792000000000001"
"115","","","","0.4776000000000001","0.47760000000000014","0.47760000000000014"
"116","","","","0.47600000000000003","0.47600000000000015","0.47600000000000015"
"117","","","","0.4744000000000001","0.47440000000000015","0.47440000000000015"
"118","","","","0.4728000000000003","0.47280000000000016","0.47280000000000016"
"119","","","","0.47120000000000023","0.4712000000000002","0.4712000000000002"
"120","0.37777777777777777","0.08333333333333333","0.6375","0.4696","0.4696000000000002","0.4696000000000002"
"121","","","","0.468","0.4680000000000002","0.4680000000000002"
"122","","","","0.4664000000000002","0.4664000000000002","0.4664000000000002"
