"Step","noisy_net: true - regret","noisy_net: true - regret__MIN","noisy_net: true - regret__MAX","noisy_net: false - regret","noisy_net: false - regret__MIN","noisy_net: false - regret__MAX"
"1","1.7777777777777777","0","2","1.5294117647058822","0","2"
"2","3.6666666666666665","0","4","3.0588235294117645","0","4"
"3","5.444444444444445","2","6","4.9411764705882355","2","6"
"4","7.111111111111111","2","8","6.470588235294118","2","8"
"5","8.88888888888889","2","10","8.352941176470589","2","10"
"6","10.666666666666666","2","12","10","2","12"
"7","12.444444444444445","2","14","11.764705882352942","4","14"
"8","14.333333333333334","2","16","13.529411764705882","6","16"
"9","16","2","18","15.176470588235293","6","18"
"10","17.666666666666668","2","20","17.058823529411764","8","20"
"11","19.333333333333332","2","22","18.823529411764707","10","22"
"12","21.22222222222222","2","24","20.352941176470587","10","24"
"13","23","2","26","22","12","26"
"14","24.555555555555557","2","28","23.88235294117647","14","28"
"15","26.333333333333332","2","30","25.41176470588235","14","30"
"16","28.22222222222222","2","32","27.058823529411764","14","32"
"17","30.11111111111111","2","34","29.058823529411764","16","34"
"18","31.555555555555557","2","36","30.58823529411765","16","36"
"19","33.22222222222222","2","38","32.35294117647059","18","38"
"20","35","2","40","34","18","40"
"21","36.77777777777778","2","42","35.64705882352941","18","42"
"22","38.44444444444444","2","44","37.529411764705884","20","44"
"23","40.111111111111114","2","46","39.1764705882353","22","46"
"24","42","4","48","40.8235294117647","22","48"
"25","43.666666666666664","4","50","42.470588235294116","24","50"
"26","45.55555555555556","4","52","44.11764705882353","24","52"
"27","47.111111111111114","4","54","45.88235294117647","24","54"
"28","48.888888888888886","4","56","47.529411764705884","26","56"
"29","50.44444444444444","4","58","49.1764705882353","28","58"
"30","52.22222222222222","4","60","50.94117647058823","30","60"
"31","53.77777777777778","4","62","52.705882352941174","30","62"
"32","55.55555555555556","4","64","54.23529411764706","30","64"
"33","57.333333333333336","4","66","55.88235294117647","30","66"
"34","59","4","68","57.411764705882355","30","68"
"35","60.77777777777778","4","70","59.1764705882353","32","70"
"36","62.55555555555556","4","72","60.94117647058823","34","72"
"37","64.55555555555556","6","74","62.588235294117645","34","74"
"38","66.22222222222223","6","76","64.23529411764706","34","76"
"39","67.88888888888889","6","78","65.88235294117646","36","78"
"40","69.66666666666667","8","80","67.6470588235294","38","80"
"41","71.33333333333333","8","82","69.52941176470588","40","82"
"42","73.11111111111111","8","84","71.41176470588235","42","84"
"43","74.88888888888889","8","86","73.17647058823529","42","86"
"44","76.66666666666667","8","88","74.94117647058823","44","88"
"45","78.44444444444444","8","90","76.70588235294117","44","90"
"46","80.33333333333333","8","92","78.3529411764706","46","92"
"47","82.11111111111111","8","94","80","46","94"
"48","83.77777777777777","8","96","82","48","96"
"49","85.66666666666667","8","98","83.6470588235294","48","98"
"50","87.44444444444444","8","100","85.29411764705883","48","100"
"51","89.22222222222223","10","102","86.82352941176471","48","102"
"52","90.88888888888889","10","104","88.58823529411765","48","104"
"53","92.66666666666667","10","106","90.3529411764706","48","106"
"54","94.44444444444444","10","108","91.88235294117646","48","108"
"55","96","10","110","93.76470588235294","50","110"
"56","97.77777777777777","10","112","95.41176470588235","50","110"
"57","99.44444444444444","10","114","96.82352941176471","50","112"
"58","101.22222222222223","10","116","98.3529411764706","52","114"
"59","103","10","118","99.88235294117646","52","116"
"60","104.66666666666667","10","120","101.41176470588235","52","118"
"61","106.44444444444444","10","122","102.82352941176471","52","120"
"62","108.11111111111111","10","124","104.58823529411765","52","122"
"63","109.88888888888889","10","126","106.47058823529412","52","124"
"64","111.66666666666667","10","128","108","52","126"
"65","113.55555555555556","10","130","109.6470588235294","52","128"
"66","115.22222222222223","10","132","111.17647058823529","52","130"
"67","116.77777777777777","10","134","112.94117647058823","54","132"
"68","118.55555555555556","12","136","114.58823529411765","54","134"
"69","120.11111111111111","12","138","116.11764705882354","54","136"
"70","121.88888888888889","12","140","117.52941176470588","54","138"
"71","123.77777777777777","14","142","119.17647058823529","54","140"
"72","125.55555555555556","14","144","120.82352941176471","54","142"
"73","127.22222222222223","14","146","122.47058823529412","56","144"
"74","128.88888888888889","14","148","124","56","146"
"75","130.66666666666666","14","150","125.76470588235294","58","148"
"76","132.44444444444446","14","152","127.41176470588235","58","150"
"77","134.33333333333334","14","154","129.05882352941177","58","152"
"78","136.11111111111111","16","156","130.8235294117647","60","154"
"79","137.88888888888889","18","158","132.58823529411765","62","154"
"80","139.77777777777777","18","160","134.11764705882354","62","156"
"81","141.55555555555554","18","162","135.88235294117646","64","158"
"82","143.33333333333334","18","164","137.52941176470588","66","160"
"83","145.11111111111111","18","166","139.2941176470588","68","162"
"84","147","20","168","140.7058823529412","68","162"
"85","148.77777777777777","20","170","142.35294117647058","68","164"
"86","150.77777777777777","22","172","143.88235294117646","70","166"
"87","152.55555555555554","22","174","145.41176470588235","72","168"
"88","154.33333333333334","22","176","146.94117647058823","72","170"
"89","156.11111111111111","22","178","148.47058823529412","72","172"
"90","158","22","180","150.11764705882354","74","174"
"91","159.88888888888889","22","182","151.88235294117646","76","176"
"92","161.66666666666666","22","184","153.41176470588235","76","178"
"93","163.33333333333334","22","186","155.05882352941177","76","180"
"94","165.22222222222223","24","188","156.7058823529412","76","182"
"95","166.77777777777777","24","190","158.35294117647058","76","184"
"96","168.22222222222223","24","192","160.11764705882354","78","186"
"97","169.88888888888889","24","194","161.64705882352942","80","188"
"98","171.77777777777777","24","196","163.41176470588235","82","190"
"99","173.55555555555554","24","198","165.1764705882353","84","192"
"100","175.22222222222223","24","200","167.05882352941177","86","194"
"101","177","24","202","168.7058823529412","86","196"
"102","178.66666666666666","24","204","170.35294117647058","86","198"
"103","180.22222222222223","24","206","172","88","200"
"104","181.88888888888889","24","208","173.64705882352942","88","202"
"105","183.22222222222223","24","210","175.2941176470588","90","204"
"106","184.77777777777777","24","212","177.05882352941177","92","206"
"107","186.33333333333334","24","214","178.58823529411765","92","208"
"108","187.66666666666666","24","216","180.35294117647058","94","210"
"109","189","24","218","182.11764705882354","96","212"
"110","190.66666666666666","24","220","183.52941176470588","96","214"
"111","192","24","222","185.1764705882353","98","216"
"112","193.22222222222223","24","224","186.47058823529412","98","218"
"113","194.77777777777777","26","226","187.88235294117646","98","220"
"114","196.11111111111111","26","228","189.76470588235293","98","222"
"115","197.55555555555554","26","230","191.41176470588235","100","224"
"116","198.88888888888889","26","232","192.94117647058823","100","226"
"117","200.33333333333334","26","234","194.8235294117647","102","226"
"118","201.88888888888889","26","236","196.23529411764707","104","228"
"119","203.11111111111111","26","238","197.41176470588235","104","230"
"120","204.44444444444446","26","240","198.8235294117647","106","232"
"121","205.44444444444446","26","242","200.23529411764707","106","234"
"122","206.66666666666666","26","244","201.64705882352942","106","234"
"123","207.88888888888889","26","246","202.94117647058823","106","236"
"124","208.88888888888889","26","248","204.47058823529412","106","238"
"125","210.11111111111111","26","250","205.64705882352942","106","240"
"126","211.11111111111111","26","252","206.7058823529412","106","242"
"127","212.11111111111111","26","254","207.88235294117646","106","244"
"128","213","26","256","209.2941176470588","108","246"
"129","214","26","258","210.94117647058823","110","248"
"130","215.22222222222223","26","260","212.23529411764707","112","250"
"131","216.22222222222223","26","262","213.1764705882353","112","252"
"132","217.22222222222223","26","264","214.35294117647058","112","254"
"133","218","26","266","215.41176470588235","114","256"
"134","218.77777777777777","26","268","216.47058823529412","114","258"
"135","219.88888888888889","26","270","217.76470588235293","116","260"
"136","220.77777777777777","26","272","218.8235294117647","116","262"
"137","221.77777777777777","26","274","219.88235294117646","116","264"
"138","222.44444444444446","26","276","220.94117647058823","118","266"
"139","223.33333333333334","26","278","221.76470588235293","118","268"
"140","224.11111111111111","26","280","222.8235294117647","118","270"
"141","225.11111111111111","26","282","223.64705882352942","120","270"
"142","225.88888888888889","26","284","224.8235294117647","120","270"
"143","226.66666666666666","26","286","225.76470588235293","120","272"
"144","227.33333333333334","26","288","226.47058823529412","120","272"
"145","228.11111111111111","26","290","227.52941176470588","122","272"
"146","228.88888888888889","26","292","228.58823529411765","122","274"
"147","229.44444444444446","26","294","229.64705882352942","124","274"
"148","230","26","296","230.47058823529412","124","274"
"149","230.55555555555554","26","298","231.2941176470588","124","276"
"150","231.33333333333334","26","300","232","126","278"
"151","231.88888888888889","26","302","232.58823529411765","126","280"
"152","232.55555555555554","26","304","233.2941176470588","126","282"
"153","232.88888888888889","26","306","234.7058823529412","128","284"
"154","233.22222222222223","26","308","235.52941176470588","128","286"
"155","233.88888888888889","26","310","236.8235294117647","128","288"
"156","234.33333333333334","26","312","237.41176470588235","128","290"
"157","234.77777777777777","26","314","238.58823529411765","130","292"
"158","235.11111111111111","26","316","239.52941176470588","132","292"
"159","235.33333333333334","26","318","240.11764705882354","132","294"
"160","235.66666666666666","26","320","241.05882352941177","132","296"
"161","235.88888888888889","26","322","241.41176470588235","134","296"
"162","236.11111111111111","26","324","242.11764705882354","134","296"
"163","236.33333333333334","26","326","242.8235294117647","134","296"
"164","236.55555555555554","26","326","243.52941176470588","136","298"
"165","236.66666666666666","26","328","244.11764705882354","136","298"
