"Step","noisy_net: true - score","noisy_net: true - score__MIN","noisy_net: true - score__MAX","noisy_net: false - score","noisy_net: false - score__MIN","noisy_net: false - score__MAX"
"50","-0.748888888888889","-1","0.84","-0.7058823529411765","-1","0.04"
"100","-0.7555555555555555","-1","0.68","-0.6352941176470589","-0.96","0.24"
"150","-0.12222222222222223","-1","0.96","-0.29882352941176465","-0.96","0.2"
"200","0.8711111111111111","0.24","1","0.2635294117647059","-0.04","0.48"
"250","1","1","1","0.38588235294117657","0.24","0.68"
"300","1","1","1","0.6235294117647058","0.48","0.84"
"350","1","1","1","0.7270588235294119","0.6","0.96"
"400","1","1","1","0.8941176470588237","0.8","1"
"450","1","1","1","0.9976470588235294","0.96","1"
"500","1","1","1","1","1","1"
"550","1","1","1","1","1","1"
"600","1","1","1","1","1","1"
"650","1","1","1","1","1","1"
"700","1","1","1","1","1","1"
"750","1","1","1","1","1","1"
"800","1","1","1","1","1","1"
"850","1","1","1","1","1","1"
"900","1","1","1","1","1","1"
"950","1","1","1","1","1","1"
"1000","1","1","1","1","1","1"
"1050","1","1","1","1","1","1"
"1100","1","1","1","1","1","1"
"1150","1","1","1","1","1","1"
"1200","1","1","1","1","1","1"
"1250","1","1","1","1","1","1"
"1300","1","1","1","1","1","1"
"1350","1","1","1","1","1","1"
"1400","1","1","1","1","1","1"
"1450","1","1","1","1","1","1"
"1500","1","1","1","1","1","1"
"1550","1","1","1","1","1","1"
"1600","1","1","1","1","1","1"
"1650","1","1","1","1","1","1"
"1700","1","1","1","1","1","1"
"1750","1","1","1","1","1","1"
"1800","1","1","1","1","1","1"
"1850","1","1","1","1","1","1"
"1900","1","1","1","1","1","1"
"1950","1","1","1","1","1","1"
"2000","1","1","1","1","1","1"
