"Step","noisy_net: false - regret","noisy_net: false - regret__MIN","noisy_net: false - regret__MAX","noisy_net: true - regret","noisy_net: true - regret__MIN","noisy_net: true - regret__MAX"
"1","0.24674960086122155","0","0.8031002879142761","0.41355937448414887","0","0.6919441223144531"
"2","0.5892761247232556","0.08363807201385498","1.136167287826538","0.647407057610425","0.3090321123600006","1.370553731918335"
"3","0.9011683827266097","0.08363807201385498","1.6749534606933594","0.9991170465946198","0.47460708022117615","1.88395094871521"
"4","1.1547326408326626","0.3870021104812622","1.9471795558929443","1.4103672721169211","0.7604213356971741","2.4136364459991455"
"5","1.4690760411322117","0.5789282917976379","2.378732204437256","1.7013579661195928","0.9857606291770935","2.7835211753845215"
"6","1.8615461252629757","0.5789282917976379","2.779005527496338","1.9793693802573464","1.127814769744873","3.3070154190063477"
"7","2.1765918657183647","1.011782169342041","3.274623155593872","2.381368723782626","1.4861230850219727","3.569766044616699"
"8","2.445053145289421","1.3655495643615723","3.6835179328918457","2.718860539523038","1.988924264907837","3.921783924102783"
"9","2.6767394691705704","1.5567165613174438","3.7789013385772705","3.0374472574754194","2.1109700202941895","4.2141032218933105"
"10","2.9684295505285263","1.5968549251556396","4.125761985778809","3.366267529400912","2.1973633766174316","4.884603023529053"
"11","3.256930708885193","1.5968549251556396","4.66547155380249","3.657283826307817","2.4039525985717773","5.297826290130615"
"12","3.565230831503868","1.7387125492095947","5.39321231842041","3.90195031599565","2.6071653366088867","5.4611921310424805"
"13","3.92749385535717","1.7387125492095947","5.845431327819824","4.205214196985418","2.71597957611084","5.942640781402588"
"14","4.230886563658714","2.1983420848846436","6.294444561004639","4.5497798486189405","2.8770432472229004","6.174043655395508"
"15","4.486770287156105","2.526043176651001","6.811290740966797","4.894508882002397","2.9042465686798096","6.597686290740967"
"16","4.780324295163155","2.526043176651001","7.306764602661133","5.20224421674555","3.0877058506011963","7.189754486083984"
"17","4.957405716180801","2.610119342803955","7.90698766708374","5.517653313550082","3.3785784244537354","7.487051963806152"
"18","5.126033440232277","2.610119342803955","8.006989479064941","5.837184775959361","3.483745813369751","7.990797519683838"
"19","5.475986510515213","2.610119342803955","8.205154418945312","6.305579575625333","3.559112071990967","8.2551851272583"
"20","5.750512585043907","2.610119342803955","8.605325698852539","6.624773914163763","3.7597038745880127","8.745595932006836"
"21","5.966664656996727","2.7381551265716553","9.10894775390625","6.934684449976141","3.846712589263916","9.361876487731934"
"22","6.332019343972206","2.7780373096466064","9.658881187438965","7.247891361063177","3.9274914264678955","9.935166358947754"
"23","6.670209735631943","3.015963077545166","10.107263565063477","7.657014283266935","4.153212070465088","10.894462585449219"
"24","6.872251987457275","3.015963077545166","10.589326858520508","7.961343678561124","4.548717498779297","11.422548294067383"
"25","7.206084996461868","3.398466110229492","11.031806945800781","8.449203577908603","4.610108852386475","11.849614143371582"
"26","7.565632939338684","3.8996615409851074","11.585538864135742","8.74362308328802","4.6800055503845215","12.000019073486328"
"27","7.841980531811714","3.99113392829895","11.585538864135742","9.057364983992143","4.704301357269287","12.585597038269043"
"28","8.208916053175926","3.99113392829895","11.988629341125488","9.395867044275457","4.787991046905518","12.634831428527832"
"29","8.52877852320671","4.269025802612305","12.638699531555176","9.719716678966176","4.932957172393799","12.825350761413574"
"30","8.797879815101624","4.269025802612305","13.102455139160156","10.044362631711094","5.428506374359131","13.138517379760742"
"31","9.029909551143646","4.342418670654297","13.534262657165527","10.383979017084295","5.49812650680542","13.764776229858398"
"32","9.348247110843658","4.342418670654297","14.05032730102539","10.744245008988814","5.664059162139893","13.950968742370605"
"33","9.5929334461689","4.721084117889404","14.05032730102539","11.104548237540506","5.799444675445557","14.561705589294434"
"34","9.850238561630249","4.721084117889404","14.47156810760498","11.433287360451438","5.895564079284668","14.773835182189941"
"35","10.093633711338043","4.721084117889404","14.913910865783691","11.78104357285933","6.426097393035889","15.24868392944336"
"36","10.393794655799866","4.721084117889404","15.382986068725586","12.117879954251377","6.9076032638549805","15.641891479492188"
"37","10.68527576327324","4.7813496589660645","15.831988334655762","12.39754278009588","6.946230411529541","16.320537567138672"
"38","10.950638741254807","4.793799877166748","16.367769241333008","12.714730609547008","7.073525905609131","16.936866760253906"
"39","11.213791698217392","5.273877143859863","16.851491928100586","13.048254880038174","7.586141586303711","17.168231964111328"
"40","11.454873949289322","5.734151363372803","16.851491928100586","13.383350198919123","7.6895365715026855","17.596797943115234"
"41","11.738782495260239","5.763097286224365","17.510040283203125","13.655836712230336","7.779404640197754","18.10955238342285"
"42","11.98186445236206","5.963427543640137","17.552045822143555","13.947390599684281","7.9983811378479","18.387115478515625"
"43","12.284559845924377","5.963427543640137","17.985509872436523","14.246508945118297","8.135594367980957","18.400327682495117"
"44","12.656692504882812","5.976675033569336","18.40361976623535","14.554306723854758","8.279029846191406","19.121994018554688"
"45","12.854559302330017","5.976675033569336","18.818620681762695","14.966374657370828","8.571975708007812","19.809951782226562"
"46","13.265346437692642","6.589277744293213","19.781503677368164","15.313095959750088","8.648164749145508","20.00458335876465"
"47","13.502427220344543","6.7969207763671875","20.26166343688965","15.63226994601163","8.821406364440918","20.59005355834961"
"48","13.767581105232239","6.7969207763671875","20.26166343688965","15.988209117542613","9.041712760925293","21.056726455688477"
"49","13.994120866060257","7.1613640785217285","20.72187614440918","16.358289198441938","9.183692932128906","21.601234436035156"
"50","14.279227405786514","7.2917304039001465","21.328323364257812","16.587380062450062","9.183692932128906","21.87122344970703"
"51","14.48476442694664","7.302160739898682","21.71591567993164","16.942579356106844","9.682000160217285","22.6529541015625"
"52","14.706057667732239","7.66544246673584","22.195236206054688","17.247792330655184","10.304160118103027","23.156112670898438"
"53","14.93898606300354","7.66544246673584","22.472915649414062","17.637945435263894","10.427103996276855","24.035690307617188"
"54","15.254221200942993","7.66544246673584","22.908655166625977","17.93752722306685","10.503501892089844","24.569589614868164"
"55","15.490145981311798","7.728457450866699","23.421443939208984","18.272530902515758","11.037639617919922","24.830320358276367"
"56","15.810048311948776","7.981734752655029","23.852354049682617","18.536346608942207","11.270076751708984","25.301300048828125"
"57","16.045985758304596","8.220173835754395","23.852354049682617","18.849495714361016","11.446319580078125","25.8444766998291"
"58","16.381759762763977","8.52965259552002","24.52272605895996","19.161776195872914","11.659635543823242","26.130971908569336"
"59","16.683802783489227","9.0458402633667","25.011573791503906","19.45297804745761","12.407146453857422","26.194843292236328"
"60","17.022234559059143","9.314244270324707","25.392026901245117","19.79052838412198","12.660993576049805","26.880237579345703"
"61","17.345243275165558","9.516623497009277","25.95856285095215","20.156610748984598","12.751005172729492","27.852025985717773"
"62","17.605968713760376","9.618541717529297","26.329456329345703","20.561606233770195","12.9219331741333","28.924753189086914"
"63","17.953415155410767","9.635772705078125","27.0223331451416","20.84999535300515","13.066807746887207","29.405717849731445"
"64","18.262362837791443","9.635772705078125","27.39352035522461","21.12940857627175","13.148964881896973","29.584840774536133"
"65","18.53401780128479","9.899596214294434","27.791728973388672","21.459689660505816","13.374302864074707","29.952796936035156"
"66","18.767102539539337","9.899596214294434","28.156444549560547","21.77291878786954","13.53942584991455","30.17943000793457"
"67","19.041724860668182","9.946964263916016","28.587953567504883","22.123351617292926","13.895313262939453","30.745933532714844"
"68","19.438417553901672","10.605048179626465","28.97429656982422","22.450644839893688","14.046070098876953","31.133516311645508"
"69","19.74044770002365","10.605048179626465","29.357025146484375","22.708698012612082","14.211999893188477","31.187118530273438"
"70","19.98595130443573","10.843344688415527","29.778627395629883","23.063564040444113","14.364981651306152","31.576122283935547"
"71","20.26274013519287","11.044388771057129","30.3685359954834","23.468935099515047","14.690760612487793","31.673906326293945"
"72","20.541988492012024","11.537097930908203","30.819448471069336","23.721461989662863","14.832416534423828","31.784555435180664"
"73","20.828644692897797","11.558505058288574","31.52104949951172","24.079773035916414","14.979586601257324","32.14581298828125"
"74","21.22771042585373","11.786591529846191","32.06834030151367","24.40806328166615","15.122739791870117","32.701656341552734"
"75","21.488023161888123","12.024685859680176","32.583091735839844","24.703191583806817","15.283060073852539","33.184234619140625"
"76","21.83841472864151","12.024685859680176","33.115604400634766","25.005019448020242","15.343979835510254","33.184234619140625"
"77","22.04490166902542","12.069150924682617","33.747825622558594","25.32878000086004","15.455719947814941","33.683902740478516"
"78","22.37482362985611","12.319021224975586","34.25449752807617","25.707448439164594","15.995561599731445","34.19091033935547"
"79","22.733172237873077","12.666160583496094","34.66514587402344","25.9699970592152","16.03801155090332","34.37214279174805"
"80","23.044300496578217","12.686588287353516","35.22505569458008","26.2685810435902","16.124338150024414","34.766319274902344"
"81","23.205848276615143","12.686588287353516","35.53983688354492","26.55226776816628","16.162569046020508","35.27958679199219"
"82","23.507146179676056","12.686588287353516","35.990318298339844","26.85514189980247","16.252288818359375","35.78467559814453"
"83","23.73230540752411","12.686588287353516","35.990318298339844","27.10543580488725","16.252288818359375","35.78467559814453"
"84","24.016993582248688","12.686588287353516","36.464805603027344","27.43210168318315","16.69379425048828","36.23066329956055"
"85","24.210458159446716","12.686588287353516","36.88766860961914","27.674541993574664","16.74650764465332","36.50461196899414"
"86","24.530571401119232","12.686588287353516","37.355934143066406","27.91423832286488","16.831832885742188","36.92782974243164"
"87","24.911316871643066","12.875977516174316","37.83958435058594","28.271582516756926","16.935239791870117","37.833709716796875"
