"Step","noisy_net: false - exploration_rate","noisy_net: false - exploration_rate__MIN","noisy_net: false - exploration_rate__MAX","noisy_net: true - exploration_rate","noisy_net: true - exploration_rate__MIN","noisy_net: true - exploration_rate__MAX"
"1","0.34999999999999987","0.35","0.35","","",""
"2","0.351","0.351","0.351","","",""
"3","0.3520000000000001","0.352","0.352","","",""
"4","0.3529999999999998","0.353","0.353","","",""
"5","0.35400000000000004","0.354","0.354","","",""
"6","0.3550000000000002","0.355","0.355","","",""
"7","0.3559999999999999","0.356","0.356","","",""
"8","0.35700000000000015","0.357","0.357","","",""
"9","0.3579999999999999","0.358","0.358","","",""
"10","0.359","0.359","0.359","0.34375","0","0.75"
"11","0.3600000000000001","0.36","0.36","","",""
"12","0.3609999999999998","0.361","0.361","","",""
"13","0.36200000000000004","0.362","0.362","","",""
"14","0.36299999999999977","0.363","0.363","","",""
"15","0.36399999999999993","0.364","0.364","","",""
"16","0.36500000000000016","0.365","0.365","","",""
"17","0.3659999999999999","0.366","0.366","","",""
"18","0.367","0.367","0.367","","",""
"19","0.3680000000000001","0.368","0.368","","",""
"20","0.36899999999999983","0.369","0.369","0.3171875","0.050000000000000044","0.575"
"21","0.37000000000000005","0.37","0.37","","",""
"22","0.3710000000000002","0.371","0.371","","",""
"23","0.37199999999999994","0.372","0.372","","",""
"24","0.37300000000000016","0.373","0.373","","",""
"25","0.3739999999999999","0.374","0.374","","",""
"26","0.375","0.375","0.375","","",""
"27","0.3760000000000001","0.376","0.376","","",""
"28","0.37699999999999984","0.377","0.377","","",""
"29","0.37800000000000006","0.378","0.378","","",""
"30","0.3789999999999998","0.379","0.379","0.33125000000000004","0.08333333333333337","0.5666666666666667"
"31","0.37999999999999995","0.38","0.38","","",""
"32","0.38100000000000017","0.381","0.381","","",""
"33","0.3819999999999999","0.382","0.382","","",""
"34","0.38299999999999995","0.383","0.383","","",""
"35","0.3840000000000001","0.384","0.384","","",""
"36","0.38499999999999984","0.385","0.385","","",""
"37","0.38600000000000007","0.386","0.386","","",""
"38","0.38700000000000023","0.387","0.387","","",""
"39","0.38799999999999996","0.388","0.388","","",""
"40","0.38900000000000007","0.389","0.389","0.33515625","0.06250000000000003","0.5875"
"41","0.3899999999999999","0.39","0.39","","",""
"42","0.391","0.391","0.391","","",""
"43","0.3920000000000001","0.392","0.392","","",""
"44","0.39299999999999996","0.393","0.393","","",""
"45","0.3940000000000001","0.394","0.394","","",""
"46","0.3949999999999998","0.395","0.395","","",""
"47","0.39599999999999996","0.396","0.396","","",""
"48","0.3970000000000002","0.397","0.397","","",""
"49","0.3979999999999999","0.398","0.398","","",""
"50","0.3990000000000001","0.399","0.399","0.34125","0.11000000000000003","0.55"
"51","0.40000000000000013","0.4","0.4","","",""
"52","0.40099999999999986","0.401","0.401","","",""
"53","0.40199999999999997","0.402","0.402","","",""
"54","0.40300000000000025","0.403","0.403","","",""
