"Step","noisy_net: true - regret","noisy_net: true - regret__MIN","noisy_net: true - regret__MAX","noisy_net: false - regret","noisy_net: false - regret__MIN","noisy_net: false - regret__MAX"
"1","1.6521739130434783","0","2","1.8","0","2"
"2","3.4782608695652173","0","4","3.4","2","4"
"3","5.391304347826087","2","6","4.9","2","6"
"4","7.217391304347826","2","8","6.5","2","8"
"5","9.043478260869565","2","10","7.9","2","10"
"6","10.695652173913043","2","12","9.6","2","12"
"7","12.521739130434783","2","14","11.2","2","14"
"8","14.434782608695652","2","16","13","2","16"
"9","16.347826086956523","4","18","15","4","18"
"10","18.17391304347826","4","20","16.6","4","20"
"11","20.08695652173913","4","22","18.2","6","22"
"12","21.82608695652174","4","24","19.9","6","24"
"13","23.565217391304348","4","26","21.6","8","26"
"14","25.47826086956522","4","28","23.3","8","28"
"15","27.217391304347824","4","30","25","10","30"
"16","29.043478260869566","4","32","26.9","12","32"
"17","30.782608695652176","4","34","28.7","12","34"
"18","32.43478260869565","4","36","30.2","12","36"
"19","34.43478260869565","6","38","32","14","38"
"20","36.26086956521739","6","40","33.8","14","40"
"21","37.91304347826087","6","42","35.6","14","42"
"22","39.82608695652174","6","44","37.3","14","44"
"23","41.65217391304348","6","46","39","14","46"
"24","43.47826086956522","8","48","40.8","14","48"
"25","45.30434782608695","8","50","42.4","14","50"
"26","47.130434782608695","8","52","44","14","52"
"27","49.04347826086956","8","54","45.7","16","54"
"28","50.869565217391305","10","56","47.4","16","56"
"29","52.608695652173914","10","58","49.1","16","58"
"30","54.34782608695652","10","60","50.9","16","60"
"31","56.08695652173913","10","62","52.5","16","62"
"32","57.91304347826087","10","64","54.2","16","64"
"33","59.73913043478261","10","66","56","18","66"
"34","61.65217391304348","10","68","57.9","20","68"
"35","63.21739130434783","10","70","59.6","20","70"
"36","65.1304347826087","10","72","61.3","20","72"
"37","66.8695652173913","10","74","63","20","74"
"38","68.78260869565217","10","76","64.6","20","76"
"39","70.69565217391305","10","78","66.2","20","78"
"40","72.6086956521739","12","80","68.1","22","80"
"41","74.43478260869566","12","82","69.8","22","82"
"42","76.17391304347827","12","84","71.7","22","84"
"43","77.82608695652173","12","86","73.6","22","86"
"44","79.73913043478261","12","88","75.4","22","88"
"45","81.56521739130434","12","90","77","22","90"
"46","83.3913043478261","14","92","78.6","22","92"
"47","85.30434782608695","14","94","80","22","94"
"48","87.21739130434783","14","96","81.8","24","96"
"49","89.04347826086956","14","98","83.4","24","98"
"50","90.95652173913044","14","100","85.1","24","100"
"51","92.69565217391305","14","102","86.8","24","102"
"52","94.6086956521739","14","104","88.7","26","104"
"53","96.43478260869566","14","106","90.1","28","106"
"54","98.26086956521739","14","108","91.7","28","108"
"55","100","14","110","93.5","30","110"
"56","101.91304347826087","14","112","95.2","32","112"
"57","103.82608695652173","14","114","97","32","114"
"58","105.73913043478261","14","116","98.8","32","116"
"59","107.56521739130434","16","118","100.7","34","118"
"60","109.3913043478261","18","120","102.3","34","120"
"61","111.21739130434783","18","122","104","34","122"
"62","112.8695652173913","18","124","105.8","34","124"
"63","114.78260869565217","18","126","107.6","34","126"
"64","116.69565217391305","18","128","109.4","34","128"
"65","118.52173913043478","18","130","111.2","36","130"
"66","120.26086956521739","20","132","112.8","36","132"
"67","122","20","134","114.5","38","134"
"68","123.91304347826087","20","136","116.1","38","136"
"69","125.82608695652173","20","138","117.9","40","138"
"70","127.65217391304348","22","140","119.6","40","140"
"71","129.56521739130434","22","142","121.1","40","142"
"72","131.47826086956522","24","144","122.8","40","144"
"73","133.30434782608697","24","146","124.6","40","146"
"74","135.2173913043478","24","148","126.3","40","148"
"75","137.04347826086956","24","150","128","40","150"
"76","138.8695652173913","24","152","129.7","42","152"
"77","140.7826086956522","24","154","131.5","42","154"
"78","142.6086956521739","24","156","133.1","44","156"
"79","144.43478260869566","24","158","135","46","158"
"80","146.08695652173913","24","160","137","48","160"
"81","147.7391304347826","24","162","138.8","48","162"
"82","149.47826086956522","26","164","140.5","48","164"
"83","151.30434782608697","26","166","142.4","50","166"
"84","153.04347826086956","26","168","144.1","50","168"
"85","154.8695652173913","26","170","145.8","50","170"
"86","156.6086956521739","26","172","147.6","50","172"
"87","158.52173913043478","26","174","149.4","50","174"
"88","160.34782608695653","26","176","151","50","176"
"89","162.08695652173913","26","178","152.7","50","178"
"90","164","26","180","154.5","50","180"
"91","165.82608695652175","26","182","156","50","182"
"92","167.65217391304347","26","184","157.8","50","184"
"93","169.47826086956522","26","186","159.6","52","186"
"94","171.47826086956522","28","188","161.2","52","188"
"95","173.2173913043478","28","190","162.9","52","190"
"96","175.1304347826087","28","192","164.6","52","192"
"97","176.8695652173913","28","194","166.3","52","194"
"98","178.7826086956522","28","196","168.2","54","196"
"99","180.52173913043478","28","198","170","56","198"
"100","182.34782608695653","30","200","171.8","58","200"
"101","184.08695652173913","30","202","173.5","58","202"
"102","185.91304347826087","32","204","175.2","58","204"
"103","187.7391304347826","32","206","177","58","206"
"104","189.56521739130434","32","208","178.7","58","208"
"105","191.30434782608697","32","210","180.4","58","210"
"106","192.8695652173913","32","212","182.1","58","212"
"107","194.43478260869566","32","214","183.6","60","214"
"108","195.82608695652175","32","216","185.2","62","216"
"109","197.3913043478261","32","218","186.8","62","218"
"110","199.04347826086956","32","220","188.2","62","218"
"111","200.52173913043478","32","222","189.5","62","220"
"112","201.82608695652175","32","224","190.9","64","222"
"113","202.95652173913044","32","226","192.4","64","224"
"114","204.34782608695653","32","228","194","64","226"
"115","205.65217391304347","32","230","195.4","64","228"
"116","207.1304347826087","32","232","197.1","66","230"
"117","208.43478260869566","32","234","198.4","66","232"
"118","209.65217391304347","32","236","200","68","234"
"119","210.95652173913044","32","238","201.3","68","236"
"120","212","32","240","202.6","70","238"
"121","213.1304347826087","32","242","204.2","70","240"
"122","214.2608695652174","32","244","205.4","72","240"
"123","215.3913043478261","32","246","206.8","72","242"
"124","216.34782608695653","32","248","207.9","72","242"
"125","217.2173913043478","32","250","209.2","72","244"
"126","218.43478260869566","32","252","210.3","72","246"
"127","219.56521739130434","32","254","211.7","74","248"
"128","220.52173913043478","32","256","212.5","74","250"
"129","221.30434782608697","32","258","213.4","76","252"
"130","222","32","260","214.8","76","254"
"131","222.8695652173913","32","262","215.9","76","256"
"132","223.65217391304347","32","264","216.9","76","258"
"133","224.34782608695653","32","266","217.9","76","260"
"134","225.04347826086956","32","268","219","76","262"
"135","225.7391304347826","32","270","220","76","264"
"136","226.34782608695653","32","272","221","76","266"
"137","226.95652173913044","32","274","222.1","78","268"
"138","227.56521739130434","32","276","222.9","80","268"
"139","228.34782608695653","32","278","223.5","80","268"
"140","229.04347826086956","32","280","224.5","82","268"
"141","229.65217391304347","32","282","225.2","82","270"
