"Step","noisy_net: true - score","noisy_net: true - score__MIN","noisy_net: true - score__MAX","noisy_net: false - score","noisy_net: false - score__MIN","noisy_net: false - score__MAX"
"50","-0.8191304347826087","-1","0.72","-0.702","-1","0.52"
"100","-0.8278260869565218","-1","0.68","-0.7340000000000001","-1","0.44"
"150","-0.05913043478260869","-1","0.96","-0.22999999999999998","-0.96","0.32"
"200","0.7669565217391306","-0.88","1","0.30200000000000016","0.04","0.48"
"250","1","1","1","0.542","0.32","0.76"
"300","1","1","1","0.61","0.44","0.8"
"350","1","1","1","0.656","0.44","0.88"
"400","1","1","1","0.7960000000000002","0.36","1"
"450","1","1","1","0.9120000000000003","0.8","0.96"
"500","1","1","1","0.992","0.96","1"
"550","1","1","1","1","1","1"
"600","1","1","1","1","1","1"
"650","1","1","1","1","1","1"
"700","1","1","1","1","1","1"
"750","1","1","1","1","1","1"
"800","1","1","1","1","1","1"
"850","1","1","1","1","1","1"
"900","1","1","1","1","1","1"
"950","1","1","1","1","1","1"
"1000","1","1","1","1","1","1"
"1050","1","1","1","1","1","1"
"1100","1","1","1","1","1","1"
"1150","1","1","1","1","1","1"
"1200","1","1","1","1","1","1"
"1250","1","1","1","1","1","1"
"1300","1","1","1","1","1","1"
"1350","1","1","1","1","1","1"
"1400","1","1","1","1","1","1"
"1450","1","1","1","1","1","1"
"1500","1","1","1","1","1","1"
"1550","1","1","1","1","1","1"
"1600","1","1","1","1","1","1"
"1650","1","1","1","1","1","1"
"1700","1","1","1","1","1","1"
"1750","1","1","1","1","1","1"
"1800","1","1","1","1","1","1"
"1850","1","1","1","1","1","1"
"1900","1","1","1","1","1","1"
"1950","1","1","1","1","1","1"
"2000","1","1","1","1","1","1"
