"Step","noisy_net: true - exploration_rate","noisy_net: true - exploration_rate__MIN","noisy_net: true - exploration_rate__MAX","noisy_net: false - exploration_rate","noisy_net: false - exploration_rate__MIN","noisy_net: false - exploration_rate__MAX"
"1","","","","0.4","0.4","0.4"
"2","","","","0.4","0.4","0.4"
"3","","","","0.4","0.4","0.4"
"4","","","","0.4","0.4","0.4"
"5","","","","0.4","0.4","0.4"
"6","","","","0.4","0.4","0.4"
"7","","","","0.4","0.4","0.4"
"8","","","","0.4","0.4","0.4"
"9","","","","0.4","0.4","0.4"
"10","0.3842105263157894","0.050000000000000044","0.85","0.4","0.4","0.4"
"11","","","","0.4","0.4","0.4"
"12","","","","0.4","0.4","0.4"
"13","","","","0.4","0.4","0.4"
"14","","","","0.4","0.4","0.4"
"15","","","","0.4","0.4","0.4"
"16","","","","0.4","0.4","0.4"
"17","","","","0.4","0.4","0.4"
"18","","","","0.4","0.4","0.4"
"19","","","","0.4","0.4","0.4"
"20","0.37894736842105253","0.050000000000000044","0.6499999999999999","0.4","0.4","0.4"
"21","","","","0.4","0.4","0.4"
"22","","","","0.4","0.4","0.4"
"23","","","","0.4","0.4","0.4"
"24","","","","0.4","0.4","0.4"
"25","","","","0.4","0.4","0.4"
"26","","","","0.4","0.4","0.4"
"27","","","","0.4","0.4","0.4"
"28","","","","0.4","0.4","0.4"
"29","","","","0.4","0.4","0.4"
"30","0.39035087719298245","0.050000000000000044","0.6166666666666667","0.4","0.4","0.4"
"31","","","","0.4","0.4","0.4"
"32","","","","0.4","0.4","0.4"
"33","","","","0.4","0.4","0.4"
"34","","","","0.4","0.4","0.4"
"35","","","","0.4","0.4","0.4"
"36","","","","0.4","0.4","0.4"
"37","","","","0.4","0.4","0.4"
"38","","","","0.4","0.4","0.4"
"39","","","","0.4","0.4","0.4"
"40","0.36578947368421055","0.050000000000000044","0.6000000000000001","0.4","0.4","0.4"
"41","","","","0.4","0.4","0.4"
"42","","","","0.4","0.4","0.4"
"43","","","","0.4","0.4","0.4"
"44","","","","0.4","0.4","0.4"
"45","","","","0.4","0.4","0.4"
"46","","","","0.4","0.4","0.4"
"47","","","","0.4","0.4","0.4"
"48","","","","0.4","0.4","0.4"
"49","","","","0.4","0.4","0.4"
"50","0.37","0.040000000000000036","0.5900000000000001","0.4","0.4","0.4"
"51","","","","0.4","0.4","0.4"
"52","","","","0.4","0.4","0.4"
"53","","","","0.4","0.4","0.4"
"54","","","","0.4","0.4","0.4"
"55","","","","0.4","0.4","0.4"
"56","","","","0.4","0.4","0.4"
"57","","","","0.4","0.4","0.4"
"58","","","","0.4","0.4","0.4"
"59","","","","0.4","0.4","0.4"
"60","0.3701754385964912","0.03333333333333336","0.5916666666666667","0.4","0.4","0.4"
"61","","","","0.4","0.4","0.4"
"62","","","","0.4","0.4","0.4"
"63","","","","0.4","0.4","0.4"
"64","","","","0.4","0.4","0.4"
"65","","","","0.4","0.4","0.4"
"66","","","","0.4","0.4","0.4"
"67","","","","0.4","0.4","0.4"
"68","","","","0.4","0.4","0.4"
"69","","","","0.4","0.4","0.4"
"70","0.36917293233082704","0.0285714285714286","0.6071428571428571","0.4","0.4","0.4"
"71","","","","0.4","0.4","0.4"
"72","","","","0.4","0.4","0.4"
"73","","","","0.4","0.4","0.4"
"74","","","","0.4","0.4","0.4"
"75","","","","0.4","0.4","0.4"
"76","","","","0.4","0.4","0.4"
"77","","","","0.4","0.4","0.4"
"78","","","","0.4","0.4","0.4"
"79","","","","0.4","0.4","0.4"
"80","0.3703947368421052","0.025000000000000022","0.59375","0.4","0.4","0.4"
"81","","","","0.4","0.4","0.4"
"82","","","","0.4","0.4","0.4"
"83","","","","0.4","0.4","0.4"
"84","","","","0.4","0.4","0.4"
"85","","","","0.4","0.4","0.4"
"86","","","","0.4","0.4","0.4"
"87","","","","0.4","0.4","0.4"
"88","","","","0.4","0.4","0.4"
"89","","","","0.4","0.4","0.4"
"90","0.3660818713450292","0.033333333333333354","0.5555555555555556","0.4","0.4","0.4"
"91","","","","0.4","0.4","0.4"
"92","","","","0.4","0.4","0.4"
"93","","","","0.4","0.4","0.4"
"94","","","","0.4","0.4","0.4"
"95","","","","0.4","0.4","0.4"
"96","","","","0.4","0.4","0.4"
"97","","","","0.4","0.4","0.4"
"98","","","","0.4","0.4","0.4"
"99","","","","0.4","0.4","0.4"
"100","0.36684210526315786","0.030000000000000016","0.5700000000000001","0.4","0.4","0.4"
"101","","","","0.3988","0.39880000000000004","0.39880000000000004"
"102","","","","0.39760360000000006","0.39760360000000006","0.39760360000000006"
"103","","","","0.3964107892","0.39641078920000006","0.39641078920000006"
"104","","","","0.39522155683240007","0.39522155683240007","0.39522155683240007"
"105","","","","0.3940358921619029","0.3940358921619029","0.3940358921619029"
"106","","","","0.39285378448541725","0.3928537844854172","0.3928537844854172"
"107","","","","0.39167522313196107","0.39167522313196096","0.39167522313196096"
"108","","","","0.3905001974625651","0.3905001974625651","0.3905001974625651"
"109","","","","0.3893286968701774","0.3893286968701774","0.3893286968701774"
"110","0.36028708133971293","0.06363636363636366","0.5499999999999999","0.3881607107795669","0.3881607107795669","0.3881607107795669"
"111","","","","0.38699622864722816","0.38699622864722816","0.38699622864722816"
"112","","","","0.3858352399612865","0.3858352399612865","0.3858352399612865"
"113","","","","0.38467773424140267","0.3846777342414026","0.3846777342414026"
"114","","","","0.3835237010386784","0.3835237010386784","0.3835237010386784"
"115","","","","0.3823731299355622","0.38237312993556233","0.38237312993556233"
"116","","","","0.3812260105457557","0.38122601054575567","0.38122601054575567"
"117","","","","0.3800823325141183","0.3800823325141184","0.3800823325141184"
"118","","","","0.37894208551657604","0.37894208551657604","0.37894208551657604"
"119","","","","0.37780525926002634","0.37780525926002634","0.37780525926002634"
"120","0.3489035087719298","0.10833333333333335","0.5541666666666666","0.3766718434822462","0.37667184348224625","0.37667184348224625"
"121","","","","0.37554182795179963","0.3755418279517995","0.3755418279517995"
"122","","","","0.3744152024679441","0.37441520246794413","0.37441520246794413"
"123","","","","0.37329195686054023","0.3732919568605403","0.3732919568605403"
"124","","","","0.3721720809899587","0.3721720809899587","0.3721720809899587"
"125","","","","0.3710555647469888","0.3710555647469888","0.3710555647469888"
"126","","","","0.369942398052748","0.36994239805274787","0.36994239805274787"
"127","","","","0.36883257085858967","0.3688325708585896","0.3688325708585896"
"128","","","","0.36772607314601385","0.36772607314601385","0.36772607314601385"
"129","","","","0.3666228949265759","0.3666228949265758","0.3666228949265758"
"130","0.3350202429149798","0.13846153846153847","0.5192307692307692","0.36552302624179595","0.36552302624179606","0.36552302624179606"
"131","","","","0.36442645716307076","0.36442645716307065","0.36442645716307065"
"132","","","","0.3633331777915814","0.3633331777915814","0.3633331777915814"
"133","","","","0.3622431782582067","0.3622431782582067","0.3622431782582067"
"134","","","","0.36115644872343206","0.36115644872343206","0.36115644872343206"
