"Name","batch_size","mean_regret","seed","env_id","memory_size","_wandb"
"conbandit_combi1_0__5__2025-06-18_12-50","200","94.639892578125","5","NNBandit-v0","2000",""
"conbandit_combi1_0__4__2025-06-18_12-50","200","122.8572006225586","4","NNBandit-v0","2000",""
"conbandit_combi1_0__3__2025-06-18_12-49","200","138.79864501953125","3","NNBandit-v0","2000",""
"conbandit_combi1_0__2__2025-06-18_12-49","200","85.4046401977539","2","NNBandit-v0","2000",""
"conbandit_combi1_0__1__2025-06-18_12-49","200","72.79340362548828","1","NNBandit-v0","2000",""
"conbandit_combi1_0__0__2025-06-18_12-48","200","62.8282356262207","0","NNBandit-v0","2000",""
"conbandit_combi1_0__5__2025-06-18_12-43","200","87.82613126841862","5","ContextualBandit-v2","2000",""
"conbandit_combi1_0__4__2025-06-18_12-43","200","211.67786309465976","4","ContextualBandit-v2","2000",""
"conbandit_combi1_0__3__2025-06-18_12-43","200","86.69048999254389","3","ContextualBandit-v2","2000",""
"conbandit_combi1_0__2__2025-06-18_12-43","200","77.62763671860911","2","ContextualBandit-v2","2000",""
"conbandit_combi1_0__1__2025-06-18_12-42","200","78.24189781522117","1","ContextualBandit-v2","2000",""
"conbandit_combi1_0__0__2025-06-18_12-42","200","42.57443387220682","0","ContextualBandit-v2","2000",""
"conbandit_combi1_0__5__2025-06-18_12-37","100","54.462860107421875","5","NNBandit-v0","2000",""
"conbandit_combi1_0__4__2025-06-18_12-37","100","91.0274658203125","4","NNBandit-v0","2000",""
"conbandit_combi1_0__3__2025-06-18_12-37","100","89.26654815673828","3","NNBandit-v0","2000",""
"conbandit_combi1_0__2__2025-06-18_12-36","100","54.52947616577149","2","NNBandit-v0","2000",""
"conbandit_combi1_0__1__2025-06-18_12-36","100","39.53823471069336","1","NNBandit-v0","2000",""
"conbandit_combi1_0__0__2025-06-18_12-36","100","41.7532844543457","0","NNBandit-v0","2000",""
"conbandit_combi1_0__5__2025-06-18_12-31","100","58.719335547170104","5","ContextualBandit-v2","2000",""
"conbandit_combi1_0__4__2025-06-18_12-30","100","195.84603336723092","4","ContextualBandit-v2","2000",""
"conbandit_combi1_0__3__2025-06-18_12-30","100","60.6420079074978","3","ContextualBandit-v2","2000",""
"conbandit_combi1_0__2__2025-06-18_12-30","100","61.39103614024298","2","ContextualBandit-v2","2000",""
"conbandit_combi1_0__1__2025-06-18_12-30","100","84.37112440404566","1","ContextualBandit-v2","2000",""
"conbandit_combi1_0__0__2025-06-18_12-29","100","30.430648726609405","0","ContextualBandit-v2","2000",""
"conbandit_combi1_0__5__2025-06-18_12-24","50","33.687461853027344","5","NNBandit-v0","2000",""
"conbandit_combi1_0__4__2025-06-18_12-24","50","55.89295196533203","4","NNBandit-v0","2000",""
"conbandit_combi1_0__3__2025-06-18_12-24","50","62.46407699584961","3","NNBandit-v0","2000",""
"conbandit_combi1_0__2__2025-06-18_12-24","50","39.93711853027344","2","NNBandit-v0","2000",""
"conbandit_combi1_0__1__2025-06-18_12-23","50","26.594528198242188","1","NNBandit-v0","2000",""
"conbandit_combi1_0__0__2025-06-18_12-23","50","34.99307632446289","0","NNBandit-v0","2000",""
"conbandit_combi1_0__5__2025-06-18_12-18","50","59.47676549537666","5","ContextualBandit-v2","2000",""
"conbandit_combi1_0__4__2025-06-18_12-18","50","188.79113582142497","4","ContextualBandit-v2","2000",""
"conbandit_combi1_0__3__2025-06-18_12-17","50","48.95253128401007","3","ContextualBandit-v2","2000",""
"conbandit_combi1_0__2__2025-06-18_12-17","50","55.26075842297964","2","ContextualBandit-v2","2000",""
"conbandit_combi1_0__1__2025-06-18_12-17","50","75.46219717894726","1","ContextualBandit-v2","2000",""
"conbandit_combi1_0__0__2025-06-18_12-17","50","24.043374960499506","0","ContextualBandit-v2","2000",""
"conbandit_combi1_0__5__2025-06-18_12-12","30","28.0293025970459","5","NNBandit-v0","2000",""
"conbandit_combi1_0__4__2025-06-18_12-12","30","44.52111053466797","4","NNBandit-v0","2000",""
"conbandit_combi1_0__3__2025-06-18_12-11","30","55.9388427734375","3","NNBandit-v0","2000",""
"conbandit_combi1_0__2__2025-06-18_12-11","30","29.14575958251953","2","NNBandit-v0","2000",""
"conbandit_combi1_0__1__2025-06-18_12-11","30","24.154630661010746","1","NNBandit-v0","2000",""
"conbandit_combi1_0__0__2025-06-18_12-11","30","33.69429397583008","0","NNBandit-v0","2000",""
"conbandit_combi1_0__5__2025-06-18_12-07","30","57.32485650109312","5","ContextualBandit-v2","2000",""
"conbandit_combi1_0__4__2025-06-18_12-07","30","184.5766073261485","4","ContextualBandit-v2","2000",""
"conbandit_combi1_0__3__2025-06-18_12-07","30","59.74242847563256","3","ContextualBandit-v2","2000",""
"conbandit_combi1_0__2__2025-06-18_12-06","30","59.30313976645705","2","ContextualBandit-v2","2000",""
"conbandit_combi1_0__1__2025-06-18_12-06","30","71.3257780925962","1","ContextualBandit-v2","2000",""
