"Name","batch_size","mean_regret","env_id","memory_size","dynamic_rate","seed","_wandb"
"conbandit_combi1_0__5__2025-06-18_16-13","200","116.7113265991211","NNBandit-v0","2000","200","5",""
"conbandit_combi1_0__4__2025-06-18_16-13","200","193.39141845703125","NNBandit-v0","2000","200","4",""
"conbandit_combi1_0__3__2025-06-18_16-13","200","180.22970581054688","NNBandit-v0","2000","200","3",""
"conbandit_combi1_0__2__2025-06-18_16-13","200","115.97460174560548","NNBandit-v0","2000","200","2",""
"conbandit_combi1_0__1__2025-06-18_16-12","200","70.38290405273438","NNBandit-v0","2000","200","1",""
"conbandit_combi1_0__0__2025-06-18_16-12","200","64.32905578613281","NNBandit-v0","2000","200","0",""
"conbandit_combi1_0__5__2025-06-18_16-12","200","116.65258026123048","NNBandit-v0","1500","200","5",""
"conbandit_combi1_0__4__2025-06-18_16-12","200","193.36065673828125","NNBandit-v0","1500","200","4",""
"conbandit_combi1_0__3__2025-06-18_16-11","200","180.15228271484375","NNBandit-v0","1500","200","3",""
"conbandit_combi1_0__2__2025-06-18_16-11","200","116.2051773071289","NNBandit-v0","1500","200","2",""
"conbandit_combi1_0__1__2025-06-18_16-11","200","70.38290405273438","NNBandit-v0","1500","200","1",""
"conbandit_combi1_0__0__2025-06-18_16-11","200","64.32905578613281","NNBandit-v0","1500","200","0",""
"conbandit_combi1_0__5__2025-06-18_16-10","200","115.78797149658205","NNBandit-v0","1000","200","5",""
"conbandit_combi1_0__4__2025-06-18_16-10","200","190.4837188720703","NNBandit-v0","1000","200","4",""
"conbandit_combi1_0__3__2025-06-18_16-10","200","178.70565795898438","NNBandit-v0","1000","200","3",""
"conbandit_combi1_0__2__2025-06-18_16-09","200","115.84955596923828","NNBandit-v0","1000","200","2",""
"conbandit_combi1_0__1__2025-06-18_16-09","200","70.38290405273438","NNBandit-v0","1000","200","1",""
"conbandit_combi1_0__0__2025-06-18_16-09","200","64.25977325439453","NNBandit-v0","1000","200","0",""
"conbandit_combi1_0__5__2025-06-18_16-09","200","114.1802215576172","NNBandit-v0","500","200","5",""
"conbandit_combi1_0__4__2025-06-18_16-08","200","186.3274078369141","NNBandit-v0","500","200","4",""
"conbandit_combi1_0__3__2025-06-18_16-08","200","175.32003784179688","NNBandit-v0","500","200","3",""
"conbandit_combi1_0__2__2025-06-18_16-08","200","114.99606323242188","NNBandit-v0","500","200","2",""
"conbandit_combi1_0__1__2025-06-18_16-08","200","70.39693450927734","NNBandit-v0","500","200","1",""
"conbandit_combi1_0__0__2025-06-18_16-07","200","64.2481918334961","NNBandit-v0","500","200","0",""
"conbandit_combi1_0__5__2025-06-18_16-07","200","306.30991405865586","ContextualBandit-v2","2000","200","5",""
"conbandit_combi1_0__4__2025-06-18_16-07","200","264.34010654386725","ContextualBandit-v2","2000","200","4",""
"conbandit_combi1_0__3__2025-06-18_16-07","200","268.4990124922443","ContextualBandit-v2","2000","200","3",""
"conbandit_combi1_0__2__2025-06-18_16-06","200","304.9781457814801","ContextualBandit-v2","2000","200","2",""
"conbandit_combi1_0__1__2025-06-18_16-06","200","236.11230159245156","ContextualBandit-v2","2000","200","1",""
"conbandit_combi1_0__0__2025-06-18_16-06","200","182.88509048072953","ContextualBandit-v2","2000","200","0",""
"conbandit_combi1_0__5__2025-06-18_16-06","200","306.60661870471216","ContextualBandit-v2","1500","200","5",""
"conbandit_combi1_0__4__2025-06-18_16-05","200","266.04189233698753","ContextualBandit-v2","1500","200","4",""
"conbandit_combi1_0__3__2025-06-18_16-05","200","268.6448510509617","ContextualBandit-v2","1500","200","3",""
"conbandit_combi1_0__2__2025-06-18_16-05","200","304.9575296583796","ContextualBandit-v2","1500","200","2",""
"conbandit_combi1_0__1__2025-06-18_16-05","200","237.28569792007065","ContextualBandit-v2","1500","200","1",""
"conbandit_combi1_0__0__2025-06-18_16-04","200","181.98585773668452","ContextualBandit-v2","1500","200","0",""
"conbandit_combi1_0__5__2025-06-18_16-04","200","304.78251714023446","ContextualBandit-v2","1000","200","5",""
"conbandit_combi1_0__4__2025-06-18_16-04","200","253.9001260335984","ContextualBandit-v2","1000","200","4",""
"conbandit_combi1_0__3__2025-06-18_16-04","200","265.0183550131041","ContextualBandit-v2","1000","200","3",""
"conbandit_combi1_0__2__2025-06-18_16-03","200","306.0968489081612","ContextualBandit-v2","1000","200","2",""
"conbandit_combi1_0__1__2025-06-18_16-03","200","248.42616297019825","ContextualBandit-v2","1000","200","1",""
"conbandit_combi1_0__0__2025-06-18_16-03","200","190.43445728548568","ContextualBandit-v2","1000","200","0",""
