"Name","noisy_layer_init_std","mean_regret","seed","env_id","_wandb"
"conbandit_combi1_0__5__2025-06-14_16-14","0.5","59.666263580322266","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_16-14","0.5","92.19831085205078","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_16-13","0.5","92.97025299072266","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_16-13","0.5","59.359825134277344","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_16-13","0.5","46.12202453613281","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_16-12","0.5","50.05100631713867","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_16-12","0.45","56.94702911376953","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_16-12","0.45","91.92979431152344","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_16-12","0.45","92.76667785644533","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_16-11","0.45","56.665870666503906","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_16-11","0.45","43.11338424682617","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_16-11","0.45","46.11320495605469","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_16-11","0.4","54.462860107421875","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_16-10","0.4","90.97180938720705","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_16-10","0.4","89.22207641601562","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_16-10","0.4","54.52947616577149","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_16-10","0.4","39.53823471069336","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_16-09","0.4","41.76332092285156","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_16-09","0.35000000000000003","49.07241439819336","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_16-09","0.35000000000000003","88.88992309570312","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_16-09","0.35000000000000003","88.1451416015625","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_16-08","0.35000000000000003","53.27877426147461","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_16-08","0.35000000000000003","36.140628814697266","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_16-08","0.35000000000000003","38.423614501953125","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_16-08","0.3","46.62187957763672","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_16-07","0.3","138.6104736328125","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_16-07","0.3","91.71332550048828","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_16-07","0.3","51.60763168334961","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_16-06","0.3","34.56676483154297","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_16-06","0.3","37.122920989990234","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_16-06","0.25","46.79598236083984","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_16-06","0.25","143.33731079101562","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_16-05","0.25","91.80950164794922","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_16-05","0.25","51.529502868652344","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_16-05","0.25","33.56309509277344","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_16-05","0.25","36.133113861083984","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_16-04","0.2","44.194122314453125","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_16-04","0.2","144.1231231689453","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_16-04","0.2","107.92755889892578","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_16-04","0.2","49.30860900878906","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_16-03","0.2","35.36415481567383","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_16-03","0.2","38.71617126464844","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_16-03","0.15000000000000002","45.26156997680664","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_16-03","0.15000000000000002","143.36929321289062","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_16-02","0.15000000000000002","105.97776794433594","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_16-02","0.15000000000000002","51.57623291015625","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_16-02","0.15000000000000002","34.189720153808594","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_16-02","0.15000000000000002","36.801490783691406","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_16-01","0.1","46.06785583496094","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_16-01","0.1","145.05233764648438","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_16-01","0.1","173.45176696777344","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_16-00","0.1","51.1512565612793","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_16-00","0.1","36.0030403137207","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_16-00","0.1","37.30511474609375","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_16-00","0.05","48.21072006225586","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_15-59","0.05","81.56380462646484","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_15-59","0.05","177.32713317871094","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_15-59","0.05","49.579959869384766","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_15-59","0.05","35.011146545410156","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_15-58","0.05","44.86882781982422","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_15-58","0.5","262.484","5","MNISTBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_15-58","0.5","252.985","4","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_15-58","0.5","184.293","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_15-57","0.5","268.251","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_15-57","0.5","245.299","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_15-57","0.5","229.878","0","MNISTBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_15-57","0.45","255.056","5","MNISTBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_15-56","0.45","252.985","4","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_15-56","0.45","182.377","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_15-56","0.45","268.251","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_15-56","0.45","243.57","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_15-55","0.45","224.361","0","MNISTBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_15-55","0.4","256.949","5","MNISTBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_15-55","0.4","252.985","4","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_15-54","0.4","184.455","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_15-54","0.4","266.373","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_15-54","0.4","243.57","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_15-54","0.4","226.255","0","MNISTBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_15-53","0.35000000000000003","275.781","5","MNISTBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_15-53","0.35000000000000003","253.087","4","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_15-53","0.35000000000000003","178.752","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_15-53","0.35000000000000003","262.686","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_15-52","0.35000000000000003","241.821","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_15-52","0.35000000000000003","222.516","0","MNISTBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_15-52","0.3","279.522","5","MNISTBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_15-52","0.3","255.132","4","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_15-51","0.3","174.812","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_15-51","0.3","257.106","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_15-51","0.3","241.946","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_15-51","0.3","222.757","0","MNISTBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_15-50","0.25","277.661","5","MNISTBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_15-50","0.25","281.375","4","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_15-50","0.25","172.974","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_15-50","0.25","266.491","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_15-49","0.25","243.911","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_15-49","0.25","222.821","0","MNISTBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_15-49","0.2","279.524","5","MNISTBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_15-49","0.2","279.526","4","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_15-48","0.2","172.995","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_15-48","0.2","262.76","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_15-48","0.2","245.871","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_15-47","0.2","223.158","0","MNISTBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_15-47","0.15000000000000002","268.389","5","MNISTBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_15-47","0.15000000000000002","290.668","4","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_15-47","0.15000000000000002","190.449","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_15-46","0.15000000000000002","262.787","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_15-46","0.15000000000000002","257.177","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_15-46","0.15000000000000002","242.207","0","MNISTBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_15-46","0.1","305.435","5","MNISTBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_15-45","0.1","296.211","4","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_15-45","0.1","198.47","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_15-45","0.1","259.068","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_15-45","0.1","277.691","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_15-44","0.1","244.098","0","MNISTBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_15-44","0.05","307.277","5","MNISTBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_15-44","0.05","303.597","4","MNISTBandit-v0",""
