"Step","conbandit_combi1_0__5820__2025-06-17_16-53 - exploration_rate","conbandit_combi1_0__5820__2025-06-17_16-53 - exploration_rate__MIN","conbandit_combi1_0__5820__2025-06-17_16-53 - exploration_rate__MAX","conbandit_combi1_0__7324__2025-06-17_16-52 - exploration_rate","conbandit_combi1_0__7324__2025-06-17_16-52 - exploration_rate__MIN","conbandit_combi1_0__7324__2025-06-17_16-52 - exploration_rate__MAX","conbandit_combi1_0__6341__2025-06-17_16-51 - exploration_rate","conbandit_combi1_0__6341__2025-06-17_16-51 - exploration_rate__MIN","conbandit_combi1_0__6341__2025-06-17_16-51 - exploration_rate__MAX"
"1","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"2","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"3","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"4","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"5","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"6","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"7","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"8","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"9","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"10","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"11","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"12","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"13","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"14","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"15","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"16","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"17","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"18","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"19","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"20","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"21","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"22","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
