"Step","env_id: MNISTBandit-v0 - regret","env_id: MNISTBandit-v0 - regret__MIN","env_id: MNISTBandit-v0 - regret__MAX"
"1","1.793103448275862","0","2"
"2","3.4482758620689653","0","4"
"3","5.310344827586207","0","6"
"4","6.9655172413793105","0","8"
"5","8.689655172413794","2","10"
"6","10.275862068965518","2","12"
"7","11.931034482758621","2","14"
"8","13.724137931034482","4","16"
"9","15.655172413793103","4","18"
"10","17.310344827586206","4","20"
"11","19.03448275862069","4","22"
"12","20.620689655172413","4","24"
"13","22.344827586206897","4","26"
"14","24.20689655172414","4","28"
"15","26","6","30"
"16","27.79310344827586","8","32"
"17","29.448275862068964","10","34"
"18","31.17241379310345","10","36"
"19","32.89655172413793","10","38"
"20","34.758620689655174","12","40"
"21","36.689655172413794","14","42"
"22","38.55172413793103","16","44"
"23","40.275862068965516","16","46"
"24","42.06896551724138","18","48"
"25","43.793103448275865","18","50"
"26","45.44827586206897","18","52"
"27","47.37931034482759","20","54"
"28","49.10344827586207","22","56"
"29","50.758620689655174","22","58"
"30","52.48275862068966","22","60"
"31","54.275862068965516","24","62"
"32","56.06896551724138","24","64"
"33","57.793103448275865","24","66"
"34","59.51724137931034","24","68"
"35","61.37931034482759","24","70"
"36","63.10344827586207","24","72"
"37","64.89655172413794","24","74"
"38","66.6896551724138","24","76"
"39","68.48275862068965","24","78"
"40","70.20689655172414","24","80"
"41","71.93103448275862","24","82"
"42","73.72413793103448","24","84"
"43","75.51724137931035","26","86"
"44","77.3103448275862","28","88"
"45","79.03448275862068","28","90"
"46","80.62068965517241","28","92"
"47","82.27586206896552","28","94"
"48","84","30","96"
"49","85.65517241379311","30","98"
"50","87.24137931034483","30","100"
"51","89.03448275862068","32","102"
"52","90.6896551724138","32","104"
"53","92.41379310344827","32","106"
"54","94.20689655172414","32","108"
"55","96","32","110"
"56","97.86206896551724","32","112"
"57","99.58620689655173","32","114"
"58","101.24137931034483","34","114"
"59","102.89655172413794","34","116"
"60","104.48275862068965","36","118"
"61","106.13793103448276","36","120"
"62","107.79310344827586","36","122"
"63","109.65517241379311","36","124"
"64","111.44827586206897","38","126"
"65","113.17241379310344","38","128"
"66","115.03448275862068","38","130"
"67","116.75862068965517","38","132"
"68","118.55172413793103","40","134"
"69","120.27586206896552","40","136"
"70","122","40","138"
"71","123.79310344827586","40","140"
"72","125.65517241379311","42","142"
"73","127.37931034482759","42","144"
"74","129.17241379310346","42","146"
"75","130.9655172413793","42","148"
"76","132.75862068965517","42","150"
"77","134.3448275862069","42","152"
"78","136","44","154"
"79","137.58620689655172","44","156"
"80","139.3793103448276","46","158"
"81","141.0344827586207","46","160"
"82","142.82758620689654","46","162"
"83","144.6206896551724","46","164"
"84","146.48275862068965","46","166"
"85","148.20689655172413","46","168"
"86","149.93103448275863","48","168"
"87","151.58620689655172","50","170"
"88","153.3793103448276","50","172"
"89","155.17241379310346","52","174"
"90","156.9655172413793","52","176"
