"Step","noisy_net: false - score","noisy_net: false - score__MIN","noisy_net: false - score__MAX"
"50","0.4752136583847853","0.20593398106845792","0.6713677679266487"
"100","0.6067279955734654","0.3577353946042499","0.7599684158243938"
"150","0.6769752421399018","0.5506664103460326","0.7873484301604666"
"200","0.7253333785955952","0.61206446535234","0.832118506090986"
"250","0.4989865584813299","0.2785356683028562","0.6453039926593971"
"300","0.5964986738670324","0.2976889729223897","0.7915053222888513"
"350","0.6586139058462116","0.26522080978209833","0.7941071559742876"
"400","0.7032550298586213","0.4507505506092068","0.8204226058199431"
"450","0.5538540947254699","0.3598962137058555","0.7881546860410182"
"500","0.6183588245099192","0.37640994187131815","0.8031145047184722"
"550","0.6709812829470132","0.41674395804620495","0.8246120921614196"
"600","0.7137302920493216","0.4594255887529165","0.8712271547859354"
"650","0.518636695031156","0.19967568662730975","0.7655152063131792"
"700","0.5891034913644753","0.23209644685137767","0.8012462221883692"
"750","0.6396852293443344","0.38346615975255177","0.8150589365064"
"800","0.6778859791048585","0.39246488599292306","0.8185204862344522"
"850","0.48070230468365255","0.2403363064630464","0.7901802262317239"
"900","0.5115393809239497","0.253542769270909","0.7911262999614003"
"950","0.562642806472223","0.24319376447979227","0.8279289833981154"
"1000","0.6065606779586857","0.27024512783206517","0.8239225907762774"
"1050","0.5147484558879208","0.24546718677924667","0.7804477588807002"
"1100","0.5589206253528438","0.24098792487057533","0.8256504534208945"
"1150","0.6041843127257803","0.21943788962334757","0.8253410344599075"
"1200","0.6407357366559477","0.3004970183057564","0.8370380833461226"
"1250","0.5116753189953632","0.16674223365131344","0.7918719764966553"
"1300","0.5602515089113866","0.22942955600325593","0.8331628145339094"
"1350","0.6015174135080402","0.22215683334619235","0.8100900244028412"
"1400","0.6557071397077446","0.3180479457089748","0.8224179796082193"
"1450","0.5783398290830452","0.25005313309204097","0.8580591892533072"
"1500","0.6367586788185858","0.2572356742438496","0.8574619697707686"
"1550","0.6759779376929577","0.39234681317929143","0.8317823667251817"
"1600","0.7138866784238288","0.4136260215610754","0.8550659059212548"
"1650","0.528346444063752","0.19238855773448296","0.860205445269661"
"1700","0.5670445352281003","0.2026583277625129","0.8596297586391652"
"1750","0.6043664534766537","0.1975171228386614","0.8684931853121779"
"1800","0.629427650866997","0.20051629533651535","0.8692209703120011"
"1850","0.5545523847846036","0.15186585940638242","0.7853375655545121"
"1900","0.5767601120552288","0.14688511923367029","0.8103314827018925"
"1950","0.6198542168527486","0.1989926154804034","0.8010273535088132"
"2000","0.6544568787813907","0.24141632268795699","0.8208871759700916"
